"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"685" 1 1 1 "685" 1 1 1
"686" 1 1 1 "686" 1 1 1
"687" 1 1 1 "687" 1 1 1
"688" 1 1 1 "688" 1 1 1
"689" 1 1 1 "689" 1 1 1
"690" 1 1 1 "690" 1 1 1
"700" 1 1 2 "700" 1 2 2
"701" 1 1 2 "701" 1 2 2
"702" 1 1 2 "702" 1 2 2
"703" 1 1 2 "703" 1 2 2
"704" 1 1 2 "704" 1 2 2
"705" 1 1 2 "705" 1 2 2
"707" 1 1 1 "707" 1 2 3
"708" 1 1 1 "708" 1 2 3
"709" 1 1 1 "709" 1 2 3
"710" 1 1 1 "710" 1 1 1
"711" 1 1 1 "711" 1 1 1
"712" 1 1 1 "712" 1 1 1
"713" 1 1 1 "713" 1 2 3
"714" 1 1 1 "714" 1 1 1
"715" 1 1 1 "715" 1 1 1
"716" 1 1 1 "716" 1 1 1
"717" 1 1 1 "717" 1 1 1
"718" 1 1 1 "718" 1 1 1
"719" 1 1 1 "719" 1 1 1
"720" 1 1 1 "720" 1 1 1
"733" 1 1 2 "733" 1 2 2
"734" 1 1 2 "734" 1 2 2
"735" 1 1 2 "735" 1 2 2
"736" 1 1 2 "736" 1 2 2
"737" 1 1 2 "737" 1 2 2
"738" 1 1 2 "738" 1 2 3
"739" 1 1 1 "739" 1 2 3
"740" 1 1 1 "740" 1 2 3
"741" 1 1 1 "741" 1 2 3
"742" 1 1 1 "742" 1 2 3
"743" 1 1 1 "743" 1 2 3
"744" 1 1 1 "744" 1 1 1
"745" 1 1 1 "745" 1 2 3
"746" 1 1 1 "746" 1 2 3
"747" 1 1 1 "747" 1 1 1
"748" 1 1 1 "748" 1 1 1
"749" 1 1 1 "749" 1 1 1
"750" 1 1 1 "750" 1 1 1
"751" 1 1 1 "751" 1 1 1
"752" 1 1 1 "752" 1 1 1
"753" 1 1 1 "753" 1 1 1
"768" 1 1 2 "768" 1 2 3
"769" 1 1 2 "769" 1 2 3
"770" 1 1 2 "770" 1 2 3
"771" 1 1 2 "771" 1 2 3
"772" 1 1 1 "772" 1 2 3
"773" 1 1 1 "773" 1 2 3
"774" 1 1 1 "774" 1 1 1
"775" 1 1 1 "775" 1 2 3
"776" 1 1 1 "776" 1 2 3
"777" 1 1 1 "777" 1 2 3
"778" 1 1 1 "778" 1 1 1
"779" 1 1 1 "779" 1 1 1
"780" 1 1 1 "780" 1 1 1
"781" 1 1 1 "781" 1 1 1
"782" 1 1 1 "782" 1 1 1
"783" 1 1 1 "783" 1 1 1
"784" 1 1 1 "784" 1 1 1
"785" 1 1 1 "785" 1 1 1
"786" 1 1 1 "786" 1 1 1
"799" 1 1 2 "799" 1 2 3
"800" 1 1 2 "800" 1 2 3
"801" 1 1 2 "801" 1 2 3
"802" 1 1 2 "802" 1 2 3
"803" 1 1 2 "803" 1 2 3
"804" 1 2 3 "804" 2 3 4
"805" 1 1 1 "805" 1 2 3
"806" 1 1 1 "806" 1 2 3
"807" 1 1 1 "807" 1 1 1
"808" 1 1 1 "808" 1 2 3
"809" 1 1 1 "809" 1 2 3
"810" 1 1 1 "810" 1 2 3
"811" 1 1 1 "811" 1 1 1
"812" 1 1 1 "812" 1 1 1
"813" 1 1 1 "813" 1 1 1
"814" 1 1 1 "814" 1 1 1
"815" 1 2 3 "815" 1 2 3
"816" 1 1 1 "816" 1 2 3
